stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
MCD,257.7099914550781,4.169469942059152,5.41987674296632,6.139479906133829,7.388952471150419,2.4962630778057524,-12.458930673557973,10.352921115184245,-0.08530102302614291
T,27.18000030517578,0.7195781027815968,1.1311104651675912,1.2738971067908729,2.0993195386369083,0.49674463900142785,-9.314883137194105,5.009099440126668,-0.05298409254598196
NKE,148.17999267578125,3.9928575463568734,5.591923360860342,6.3100612410768235,8.428996706308599,2.531465459829912,-15.286936284659475,16.362349266523154,-0.04782319006104409
DHR,293.30999755859375,7.88594628389734,10.709811978007146,12.231793165016313,15.460939705098708,5.014229319561998,-21.666536477842214,27.297865960346655,0.29122833152312694
LOW,242.59999084472656,5.101018631497027,6.905461113888303,7.853544831803305,10.152995817647623,3.169508217870039,-30.84217726907721,17.678473061925672,-0.03865580794926499
LIN,328.6300048828125,5.675293129249894,7.58785939546472,8.595905738833551,10.576345138248726,3.5449001511876297,-19.333148761874213,16.23473230420143,0.12300592372290098
TXN,187.00999450683594,4.3059785069287955,6.313732214680182,7.12558495099006,10.102370662851198,2.8649911522107128,-32.7445222855045,23.42306922075022,0.046723529106908884
NEE,83.19999694824219,1.4989868401198265,2.0909255488739342,2.3142337777308626,3.0343733517769738,1.0229400647138616,-6.121346342568614,17.244029341852908,0.06326088905380163
AMD,136.8800048828125,8.209911630324285,10.816779897154493,12.696117816495743,14.73885269365066,5.007303004049835,-19.16068539184144,22.525390135756282,-0.17536625515722104
UNP,246.27000427246094,4.296025840449886,5.461007244056105,6.189952006489705,7.250555217414394,2.603679740903449,-11.070915456386558,11.186968969622285,-0.01935832811263876
PM,103.37999725341797,1.8475887787613345,2.2712196507418585,2.5477608975437533,2.876714592192452,1.1241058645173618,-3.5497218267199457,3.906086843859839,0.02008689883783138
INTU,550.7899780273438,23.259302958642706,33.378785920742665,37.04758470322429,55.687700135945164,15.153224516052768,-172.04580227400692,228.19628226412226,-0.8667752614025755
UPS,206.5399932861328,4.900983813813696,6.745491177802947,7.98371767773844,9.705496807994416,3.0513731305967857,-15.654114170101622,22.993426952943764,-0.12549004783690243
HON,217.64999389648438,4.4151106313937305,5.744651227025297,6.557676370895479,7.807361558259675,2.692149871051689,-13.708495275405738,10.471444465440072,0.00669892564128503
MS,98.87999725341797,2.8140422292023857,3.6871451863321236,4.259427302881221,5.112581070674751,1.7672081557294372,-11.326634721035873,7.574454944981667,0.05232139891770382
MDT,108.55000305175781,2.4362463928560345,3.6635959437014516,4.348612424652728,6.010442930584297,1.815823238963677,-22.748452514974232,41.27852084861141,0.17774251330389237
BMY,64.93000030517578,1.349023949439875,2.734877725830542,2.8453739060467456,6.281866636243026,1.7467772782910376,-34.480994385678116,51.55704663365533,0.01018922938601294
AMAT,167.0,7.606910034603175,10.27568039082467,11.737617443662344,14.84847658879798,4.748569378326086,-24.04564351076371,29.73588528989322,0.0017722970484106155
ORCL,87.69000244140625,2.3732206162248417,4.1317137405170214,4.96228104593726,8.20883241709964,1.963107395129565,-27.287851968038332,49.70544929717576,-0.23240091878516328
SCHW,95.52999877929688,2.7934023962332333,3.7388659587827524,4.237587499196778,5.3833281966309,1.6689082536714481,-9.203371874336156,9.308543000886857,-0.11006649544165176
CVS,105.6552734375,2.145577866037712,3.9807020287119013,4.66537566673297,7.935522246294149,1.9856610674241153,-31.36543323104179,72.36913526857583,-0.03794638298084022
RTX,92.33000183105469,2.2331972974059937,2.904410688563741,3.3434915439827364,3.9266944987244368,1.3363116283701626,-8.385022808462338,6.57797675349309,-0.07190201390686107
C,66.93000030517578,1.5682543101718096,2.019754117097869,2.3480378230897827,2.7185329881549785,0.9528459593312716,-4.286905316665525,5.121691007536413,-0.007930314539324322
GS,380.94000244140625,10.053772145365656,12.80991815051201,14.461461173960458,16.902851810946,6.190918957677638,-27.078233136186554,23.75468442045468,0.07019893568495778
AMGN,235.36000061035156,4.002413882637114,4.919652207425006,5.571531263472821,6.247848874927254,2.444539654276841,-8.32679823517583,8.659536168681228,0.032231782990008936
BLK,848.5999755859375,18.350597088748145,22.997116137852363,25.91502699064563,29.80216071445213,11.28523013369042,-39.98753452168728,38.35828273255004,0.02904674675589499
BA,225.9600067138672,9.772128747865906,12.97939551995055,14.524945300014195,18.496057889236848,5.930119450962712,-46.75243992718836,38.59790259896556,-0.4416712175146554
CAT,228.94000244140625,6.358984423145301,8.499750772588573,9.778328760038988,12.030504074401788,3.8413821471953296,-20.898011326242965,25.54668043239255,-0.2409845090533226
IBM,134.2100067138672,2.336811668769002,3.845238309965362,4.65707627264328,6.889469365149904,1.8022515031127384,-18.77748502337991,22.297810786875687,0.1893343737585331
SBUX,100.12000274658203,2.5905559560240334,4.296366644583238,5.131939861585138,7.729601901395476,1.8933315766581444,-18.423991407631974,16.583678393685034,0.1962755414847093
AMT,250.6199951171875,5.238772833845729,7.696340953276771,9.221275776298626,11.833590455313383,3.61453035798478,-29.688995689137727,34.31981387614371,0.24634260680111641
PLD,152.74000549316406,3.0153537537686077,3.6921689199941015,4.099740657631656,4.5878655500115,1.8149942841635556,-5.566445055692782,7.363212093607643,-0.010554541051892425
GE,103.16000366210938,3.1075303180424783,3.8555676543893167,4.3220371101196235,4.944304190496777,1.8940998869635615,-6.240060380733354,6.8498291056778555,-0.00756027122120025
ISRG,307.739990234375,9.519107295404467,11.885142100576182,13.52208144100888,14.933677559426638,5.750787633139915,-18.886776944189194,20.33874529216115,-0.051742336159820004
COP,86.73999786376953,3.1357516848781586,3.9352815857508943,4.309284814427073,5.301286049355055,1.8662982458338984,-9.138199883421962,8.692209686399252,-0.024981043963493432
TGT,221.39999389648438,5.106591034752142,7.123950671409464,8.174180837426263,10.493016911592074,3.3283298998420587,-17.05691242849136,21.672105504000996,0.2673595897502241
ANTM,452.1400146484375,9.607458630261874,12.91333997973269,15.032357372178978,18.350562061615104,6.146190568762117,-31.405535144127384,27.53491503921964,0.2718886053075282
